strike,tenor,value,valuationDate,isinCode,definition,volType
-0.005,1Y,0.554,2021-06-08,USD,CapFloorVolatility,normal
-0.005,2Y,0.549,2021-06-08,USD,CapFloorVolatility,normal
-0.005,3Y,0.59,2021-06-08,USD,CapFloorVolatility,normal
-0.005,4Y,0.635,2021-06-08,USD,CapFloorVolatility,normal
-0.005,5Y,0.683,2021-06-08,USD,CapFloorVolatility,normal
-0.005,6Y,0.72,2021-06-08,USD,CapFloorVolatility,normal
-0.005,7Y,0.743,2021-06-08,USD,CapFloorVolatility,normal
-0.005,8Y,0.758,2021-06-08,USD,CapFloorVolatility,normal
-0.005,9Y,0.77,2021-06-08,USD,CapFloorVolatility,normal
-0.005,10Y,0.794,2021-06-08,USD,CapFloorVolatility,normal
-0.005,12Y,0.78,2021-06-08,USD,CapFloorVolatility,normal
-0.005,15Y,0.808,2021-06-08,USD,CapFloorVolatility,normal
-0.005,20Y,0.801,2021-06-08,USD,CapFloorVolatility,normal
-0.0025,1Y,0.418,2021-06-08,USD,CapFloorVolatility,normal
-0.0025,2Y,0.454,2021-06-08,USD,CapFloorVolatility,normal
-0.0025,3Y,0.513,2021-06-08,USD,CapFloorVolatility,normal
-0.0025,4Y,0.569,2021-06-08,USD,CapFloorVolatility,normal
-0.0025,5Y,0.622,2021-06-08,USD,CapFloorVolatility,normal
-0.0025,6Y,0.663,2021-06-08,USD,CapFloorVolatility,normal
-0.0025,7Y,0.691,2021-06-08,USD,CapFloorVolatility,normal
-0.0025,8Y,0.709,2021-06-08,USD,CapFloorVolatility,normal
-0.0025,9Y,0.725,2021-06-08,USD,CapFloorVolatility,normal
-0.0025,10Y,0.738,2021-06-08,USD,CapFloorVolatility,normal
-0.0025,12Y,0.755,2021-06-08,USD,CapFloorVolatility,normal
-0.0025,15Y,0.773,2021-06-08,USD,CapFloorVolatility,normal
-0.0025,20Y,0.771,2021-06-08,USD,CapFloorVolatility,normal
0,1Y,0.265,2021-06-08,USD,CapFloorVolatility,normal
0,2Y,0.347,2021-06-08,USD,CapFloorVolatility,normal
0,3Y,0.427,2021-06-08,USD,CapFloorVolatility,normal
0,4Y,0.498,2021-06-08,USD,CapFloorVolatility,normal
0,5Y,0.558,2021-06-08,USD,CapFloorVolatility,normal
0,6Y,0.604,2021-06-08,USD,CapFloorVolatility,normal
0,7Y,0.638,2021-06-08,USD,CapFloorVolatility,normal
0,8Y,0.661,2021-06-08,USD,CapFloorVolatility,normal
0,9Y,0.68,2021-06-08,USD,CapFloorVolatility,normal
0,10Y,0.696,2021-06-08,USD,CapFloorVolatility,normal
0,12Y,0.718,2021-06-08,USD,CapFloorVolatility,normal
0,15Y,0.739,2021-06-08,USD,CapFloorVolatility,normal
0,20Y,0.742,2021-06-08,USD,CapFloorVolatility,normal
0.0025,1Y,0.129,2021-06-08,USD,CapFloorVolatility,normal
0.0025,2Y,0.271,2021-06-08,USD,CapFloorVolatility,normal
0.0025,3Y,0.375,2021-06-08,USD,CapFloorVolatility,normal
0.0025,4Y,0.46,2021-06-08,USD,CapFloorVolatility,normal
0.0025,5Y,0.525,2021-06-08,USD,CapFloorVolatility,normal
0.0025,6Y,0.573,2021-06-08,USD,CapFloorVolatility,normal
0.0025,7Y,0.608,2021-06-08,USD,CapFloorVolatility,normal
