tenor,maturityDate,value,valuationDate,currency,instrument,settlementDate,period,startDate,convexityAdjustment
1M,2019-02-04,0.025027,2019-01-02,USD,DEPO,2D,6M,,
2M,2019-03-04,0.026138,2019-01-02,USD,DEPO,2D,6M,,
3M,2019-04-04,0.028076,2019-01-02,USD,DEPO,2D,6M,,
6M,2019-07-04,0.028756,2019-01-02,USD,DEPO,2D,6M,,
1Y,2020-01-06,0.030054,2019-01-02,USD,DEPO,2D,6M,,
2Y,2021-01-04,0.02655,2019-01-02,USD,IRS,2D,6M,,
3Y,2022-01-04,0.02583,2019-01-02,USD,IRS,2D,6M,,
4Y,2023-01-04,0.025725,2019-01-02,USD,IRS,2D,6M,,
5Y,2024-01-04,0.025785,2019-01-02,USD,IRS,2D,6M,,
6Y,2025-01-04,0.025955,2019-01-02,USD,IRS,2D,6M,,
7Y,2026-01-04,0.02622,2019-01-02,USD,IRS,2D,6M,,
8Y,2027-01-04,0.026515,2019-01-02,USD,IRS,2D,6M,,
9Y,2028-01-04,0.026805,2019-01-02,USD,IRS,2D,6M,,
10Y,2029-01-04,0.02714,2019-01-02,USD,IRS,2D,6M,,
12Y,2031-01-04,0.027615,2019-01-02,USD,IRS,2D,6M,,
15Y,2034-01-04,0.028065,2019-01-02,USD,IRS,2D,6M,,
20Y,2039-01-04,0.02836,2019-01-02,USD,IRS,2D,6M,,
25Y,2044-01-04,0.02838,2019-01-02,USD,IRS,2D,6M,,
30Y,2049-01-04,0.02838,2019-01-02,USD,IRS,2D,6M,,
1M,2019-02-07,0.025071,2019-01-03,USD,DEPO,2D,6M,,
2M,2019-03-07,0.026174,2019-01-03,USD,DEPO,2D,6M,,
3M,2019-04-08,0.027939,2019-01-03,USD,DEPO,2D,6M,,
6M,2019-07-08,0.028739,2019-01-03,USD,DEPO,2D,6M,,
1Y,2020-01-07,0.03002,2019-01-03,USD,DEPO,2D,6M,,
2Y,2021-01-07,0.026745,2019-01-03,USD,IRS,2D,6M,,
3Y,2022-01-07,0.025955,2019-01-03,USD,IRS,2D,6M,,
4Y,2023-01-07,0.025675,2019-01-03,USD,IRS,2D,6M,,
5Y,2024-01-07,0.02564,2019-01-03,USD,IRS,2D,6M,,
6Y,2025-01-07,0.02578,2019-01-03,USD,IRS,2D,6M,,
7Y,2026-01-07,0.025975,2019-01-03,USD,IRS,2D,6M,,
8Y,2027-01-07,0.026185,2019-01-03,USD,IRS,2D,6M,,
9Y,2028-01-07,0.02649,2019-01-03,USD,IRS,2D,6M,,
10Y,2029-01-07,0.026765,2019-01-03,USD,IRS,2D,6M,,
12Y,2031-01-07,0.027265,2019-01-03,USD,IRS,2D,6M,,
15Y,2034-01-07,0.02768,2019-01-03,USD,IRS,2D,6M,,
20Y,2039-01-07,0.027965,2019-01-03,USD,IRS,2D,6M,,
25Y,2044-01-07,0.027975,2019-01-03,USD,IRS,2D,6M,,
30Y,2049-01-07,0.028005,2019-01-03,USD,IRS,2D,6M,,
1M,2019-02-08,0.025128,2019-01-04,USD,DEPO,2D,6M,,
2M,2019-03-08,0.026204,2019-01-04,USD,DEPO,2D,6M,,
3M,2019-04-08,0.02795,2019-01-04,USD,DEPO,2D,6M,,
6M,2019-07-08,0.028589,2019-01-04,USD,DEPO,2D,6M,,
1Y,2020-01-08,0.03005,2019-01-04,USD,DEPO,2D,6M,,
2Y,2021-01-08,0.025315,2019-01-04,USD,IRS,2D,6M,,
3Y,2022-01-08,0.024495,2019-01-04,USD,IRS,2D,6M,,
4Y,2023-01-08,0.024315,2019-01-04,USD,IRS,2D,6M,,
5Y,2024-01-08,0.02428,2019-01-04,USD,IRS,2D,6M,,
6Y,2025-01-08,0.0245,2019-01-04,USD,IRS,2D,6M,,
7Y,2026-01-08,0.024755,2019-01-04,USD,IRS,2D,6M,,
8Y,2027-01-08,0.02505,2019-01-04,USD,IRS,2D,6M,,
9Y,2028-01-08,0.02541,2019-01-04,USD,IRS,2D,6M,,
10Y,2029-01-08,0.025805,2019-01-04,USD,IRS,2D,6M,,
12Y,2031-01-08,0.026255,2019-01-04,USD,IRS,2D,6M,,
15Y,2034-01-08,0.026815,2019-01-04,USD,IRS,2D,6M,,
20Y,2039-01-08,0.02719,2019-01-04,USD,IRS,2D,6M,,
25Y,2044-01-08,0.02727,2019-01-04,USD,IRS,2D,6M,,
30Y,2049-01-08,0.02733,2019-01-04,USD,IRS,2D,6M,,
1M,2019-02-11,0.025206,2019-01-07,USD,DEPO,2D,6M,,
2M,2019-03-11,0.026231,2019-01-07,USD,DEPO,2D,6M,,
3M,2019-04-09,0.028039,2019-01-07,USD,DEPO,2D,6M,,
6M,2019-07-09,0.028558,2019-01-07,USD,DEPO,2D,6M,,
1Y,2020-01-09,0.029649,2019-01-07,USD,DEPO,2D,6M,,
2Y,2021-01-09,0.026555,2019-01-07,USD,IRS,2D,6M,,
3Y,2022-01-09,0.025755,2019-01-07,USD,IRS,2D,6M,,
4Y,2023-01-09,0.025575,2019-01-07,USD,IRS,2D,6M,,
5Y,2024-01-09,0.025645,2019-01-07,USD,IRS,2D,6M,,
6Y,2025-01-09,0.02577,2019-01-07,USD,IRS,2D,6M,,
7Y,2026-01-09,0.02605,2019-01-07,USD,IRS,2D,6M,,
8Y,2027-01-09,0.026295,2019-01-07,USD,IRS,2D,6M,,
9Y,2028-01-09,0.02657,2019-01-07,USD,IRS,2D,6M,,
10Y,2029-01-09,0.0269,2019-01-07,USD,IRS,2D,6M,,
12Y,2031-01-09,0.02735,2019-01-07,USD,IRS,2D,6M,,
