tenor,maturityDate,value,valuationDate,currency,instrument,settlementDate,period,startDate,convexityAdjustment
7Y,,0.2925,2024-10-07,TRY,OIS,2D,1D,,
6M,,0.4865,2024-10-07,TRY,OIS,2D,1D,,
6Y,,0.299,2024-10-07,TRY,OIS,2D,1D,,
10Y,,0.2789999999999999,2024-10-07,TRY,OIS,2D,1D,,
2W,,0.507,2024-10-07,TRY,OIS,2D,1D,,
1Y,,0.425,2024-10-07,TRY,OIS,2D,1D,,
3Y,,0.3375,2024-10-07,TRY,OIS,2D,1D,,
18M,,0.389,2024-10-07,TRY,OIS,2D,1D,,
2Y,,0.3675,2024-10-07,TRY,OIS,2D,1D,,
2M,,0.515,2024-10-07,TRY,OIS,2D,1D,,
5Y,,0.30795,2024-10-07,TRY,OIS,2D,1D,,
9Y,,0.282,2024-10-07,TRY,OIS,2D,1D,,
8Y,,0.287,2024-10-07,TRY,OIS,2D,1D,,
4Y,,0.321,2024-10-07,TRY,OIS,2D,1D,,
3M,,0.498138,2024-10-07,TRY,DEPO,2D,1D,,
2D,,0.498138,2024-10-07,TRY,DEPO,2D,1D,,
7Y,,0.2875,2024-04-15,TRY,OIS,2D,1D,,
6M,,0.5475,2024-04-15,TRY,OIS,2D,1D,,
6Y,,0.298,2024-04-15,TRY,OIS,2D,1D,,
10Y,,0.267,2024-04-15,TRY,OIS,2D,1D,,
2W,,0.502,2024-04-15,TRY,OIS,2D,1D,,
1Y,,0.501,2024-04-15,TRY,OIS,2D,1D,,
3Y,,0.364,2024-04-15,TRY,OIS,2D,1D,,
18M,,0.4504999999999999,2024-04-15,TRY,OIS,2D,1D,,
2Y,,0.4095,2024-04-15,TRY,OIS,2D,1D,,
2M,,0.5345,2024-04-15,TRY,OIS,2D,1D,,
5Y,,0.3125,2024-04-15,TRY,OIS,2D,1D,,
9Y,,0.272,2024-04-15,TRY,OIS,2D,1D,,
8Y,,0.2789999999999999,2024-04-15,TRY,OIS,2D,1D,,
4Y,,0.3339999999999999,2024-04-15,TRY,OIS,2D,1D,,
3M,,0.529671,2024-04-15,TRY,DEPO,2D,1D,,
2D,,0.529671,2024-04-15,TRY,DEPO,2D,1D,,
7Y,,0.273,2025-02-25,TRY,OIS,2D,1D,,
7Y,,0.2744999999999999,2025-02-24,TRY,OIS,2D,1D,,
7Y,,0.2764999999999999,2025-02-21,TRY,OIS,2D,1D,,
7Y,,0.2766,2025-02-20,TRY,OIS,2D,1D,,
7Y,,0.27545,2025-02-19,TRY,OIS,2D,1D,,
7Y,,0.275,2025-02-18,TRY,OIS,2D,1D,,
7Y,,0.2724,2025-02-17,TRY,OIS,2D,1D,,
7Y,,0.2724,2025-02-14,TRY,OIS,2D,1D,,
7Y,,0.2714999999999999,2025-02-13,TRY,OIS,2D,1D,,
7Y,,0.2714999999999999,2025-02-12,TRY,OIS,2D,1D,,
7Y,,0.2714999999999999,2025-02-11,TRY,OIS,2D,1D,,
7Y,,0.2711,2025-02-10,TRY,OIS,2D,1D,,
7Y,,0.2711,2025-02-07,TRY,OIS,2D,1D,,
7Y,,0.2721,2025-02-06,TRY,OIS,2D,1D,,
7Y,,0.271,2025-02-05,TRY,OIS,2D,1D,,
7Y,,0.2721,2025-02-04,TRY,OIS,2D,1D,,
7Y,,0.272,2025-02-03,TRY,OIS,2D,1D,,
7Y,,0.2739,2025-01-31,TRY,OIS,2D,1D,,
7Y,,0.276,2025-01-30,TRY,OIS,2D,1D,,
7Y,,0.2769999999999999,2025-01-29,TRY,OIS,2D,1D,,
7Y,,0.2769999999999999,2025-01-28,TRY,OIS,2D,1D,,
7Y,,0.278,2025-01-27,TRY,OIS,2D,1D,,
7Y,,0.2785,2025-01-24,TRY,OIS,2D,1D,,
7Y,,0.2794999999999999,2025-01-23,TRY,OIS,2D,1D,,
7Y,,0.2804,2025-01-22,TRY,OIS,2D,1D,,
7Y,,0.2799,2025-01-21,TRY,OIS,2D,1D,,
7Y,,0.2818,2025-01-17,TRY,OIS,2D,1D,,
7Y,,0.2829,2025-01-16,TRY,OIS,2D,1D,,
7Y,,0.2855,2025-01-15,TRY,OIS,2D,1D,,
7Y,,0.2862,2025-01-14,TRY,OIS,2D,1D,,
7Y,,0.2859,2025-01-10,TRY,OIS,2D,1D,,
7Y,,0.2858,2025-01-09,TRY,OIS,2D,1D,,
7Y,,0.2845,2025-01-08,TRY,OIS,2D,1D,,
7Y,,0.2830999999999999,2025-01-06,TRY,OIS,2D,1D,,
7Y,,0.2825,2025-01-03,TRY,OIS,2D,1D,,
7Y,,0.2864,2025-01-02,TRY,OIS,2D,1D,,
7Y,,0.2876,2024-12-31,TRY,OIS,2D,1D,,
7Y,,0.2871,2024-12-30,TRY,OIS,2D,1D,,
7Y,,0.2864,2024-12-27,TRY,OIS,2D,1D,,
7Y,,0.2905,2024-12-26,TRY,OIS,2D,1D,,
7Y,,0.2964,2024-12-25,TRY,OIS,2D,1D,,
7Y,,0.2964,2024-12-24,TRY,OIS,2D,1D,,
7Y,,0.2983,2024-12-20,TRY,OIS,2D,1D,,
7Y,,0.2983,2024-12-19,TRY,OIS,2D,1D,,
7Y,,0.2989,2024-12-18,TRY,OIS,2D,1D,,
7Y,,0.299,2024-12-17,TRY,OIS,2D,1D,,
7Y,,0.2977499999999999,2024-12-16,TRY,OIS,2D,1D,,
7Y,,0.2975,2024-12-13,TRY,OIS,2D,1D,,
7Y,,0.2979,2024-12-12,TRY,OIS,2D,1D,,
7Y,,0.2982,2024-12-11,TRY,OIS,2D,1D,,
7Y,,0.2984,2024-12-10,TRY,OIS,2D,1D,,
7Y,,0.2985,2024-12-09,TRY,OIS,2D,1D,,
7Y,,0.2958,2024-12-06,TRY,OIS,2D,1D,,
7Y,,0.2949,2024-12-05,TRY,OIS,2D,1D,,
7Y,,0.2938,2024-12-04,TRY,OIS,2D,1D,,
7Y,,0.2903,2024-12-03,TRY,OIS,2D,1D,,
7Y,,0.2905,2024-12-02,TRY,OIS,2D,1D,,
7Y,,0.2905,2024-11-29,TRY,OIS,2D,1D,,
7Y,,0.2904,2024-11-28,TRY,OIS,2D,1D,,
7Y,,0.291,2024-11-27,TRY,OIS,2D,1D,,
7Y,,0.2914,2024-11-26,TRY,OIS,2D,1D,,
7Y,,0.2917,2024-11-22,TRY,OIS,2D,1D,,
7Y,,0.2923,2024-11-21,TRY,OIS,2D,1D,,
7Y,,0.2961,2024-11-20,TRY,OIS,2D,1D,,
7Y,,0.2971999999999999,2024-11-19,TRY,OIS,2D,1D,,
7Y,,0.2982,2024-11-15,TRY,OIS,2D,1D,,
7Y,,0.2982,2024-11-14,TRY,OIS,2D,1D,,
7Y,,0.2985,2024-11-13,TRY,OIS,2D,1D,,
7Y,,0.2985,2024-11-12,TRY,OIS,2D,1D,,
7Y,,0.2992,2024-11-08,TRY,OIS,2D,1D,,
7Y,,0.301,2024-11-07,TRY,OIS,2D,1D,,
7Y,,0.301,2024-11-06,TRY,OIS,2D,1D,,
7Y,,0.301,2024-11-05,TRY,OIS,2D,1D,,
7Y,,0.3018,2024-11-04,TRY,OIS,2D,1D,,
7Y,,0.29975,2024-11-01,TRY,OIS,2D,1D,,
7Y,,0.2995,2024-10-31,TRY,OIS,2D,1D,,
7Y,,0.2955,2024-10-30,TRY,OIS,2D,1D,,
7Y,,0.2932,2024-10-29,TRY,OIS,2D,1D,,
7Y,,0.2932,2024-10-25,TRY,OIS,2D,1D,,
7Y,,0.2932,2024-10-24,TRY,OIS,2D,1D,,
7Y,,0.2932,2024-10-23,TRY,OIS,2D,1D,,
7Y,,0.2932,2024-10-22,TRY,OIS,2D,1D,,
7Y,,0.2932,2024-10-18,TRY,OIS,2D,1D,,
7Y,,0.2937,2024-10-17,TRY,OIS,2D,1D,,
7Y,,0.2930999999999999,2024-10-16,TRY,OIS,2D,1D,,
7Y,,0.2925,2024-10-14,TRY,OIS,2D,1D,,
7Y,,0.2926,2024-10-11,TRY,OIS,2D,1D,,
7Y,,0.2934,2024-10-10,TRY,OIS,2D,1D,,
7Y,,0.2925,2024-10-09,TRY,OIS,2D,1D,,
7Y,,0.2938,2024-10-08,TRY,OIS,2D,1D,,
7Y,,0.2885,2024-10-04,TRY,OIS,2D,1D,,
7Y,,0.2887,2024-10-03,TRY,OIS,2D,1D,,
7Y,,0.2817,2024-10-02,TRY,OIS,2D,1D,,
7Y,,0.2807,2024-10-01,TRY,OIS,2D,1D,,
7Y,,0.2807,2024-09-30,TRY,OIS,2D,1D,,
7Y,,0.2812,2024-09-27,TRY,OIS,2D,1D,,
7Y,,0.2812,2024-09-26,TRY,OIS,2D,1D,,
7Y,,0.2822,2024-09-25,TRY,OIS,2D,1D,,
7Y,,0.2838,2024-09-24,TRY,OIS,2D,1D,,
7Y,,0.2839,2024-09-20,TRY,OIS,2D,1D,,
7Y,,0.2847,2024-09-19,TRY,OIS,2D,1D,,
7Y,,0.2858,2024-09-18,TRY,OIS,2D,1D,,
7Y,,0.284,2024-09-17,TRY,OIS,2D,1D,,
7Y,,0.2852,2024-09-16,TRY,OIS,2D,1D,,
7Y,,0.2845,2024-09-13,TRY,OIS,2D,1D,,
7Y,,0.2852,2024-09-12,TRY,OIS,2D,1D,,
7Y,,0.2862,2024-09-11,TRY,OIS,2D,1D,,
7Y,,0.2858,2024-09-10,TRY,OIS,2D,1D,,
7Y,,0.2827,2024-09-09,TRY,OIS,2D,1D,,
7Y,,0.2833,2024-09-06,TRY,OIS,2D,1D,,
7Y,,0.2828,2024-09-05,TRY,OIS,2D,1D,,
7Y,,0.2828,2024-09-04,TRY,OIS,2D,1D,,
7Y,,0.2825,2024-09-03,TRY,OIS,2D,1D,,
7Y,,0.2825,2024-09-02,TRY,OIS,2D,1D,,
7Y,,0.2828,2024-08-30,TRY,OIS,2D,1D,,
7Y,,0.2828,2024-08-29,TRY,OIS,2D,1D,,
7Y,,0.2828,2024-08-28,TRY,OIS,2D,1D,,
7Y,,0.2828,2024-08-27,TRY,OIS,2D,1D,,
7Y,,0.2828,2024-08-23,TRY,OIS,2D,1D,,
7Y,,0.283,2024-08-22,TRY,OIS,2D,1D,,
7Y,,0.283,2024-08-21,TRY,OIS,2D,1D,,
7Y,,0.285,2024-08-20,TRY,OIS,2D,1D,,
7Y,,0.285,2024-08-19,TRY,OIS,2D,1D,,
7Y,,0.285,2024-08-16,TRY,OIS,2D,1D,,
7Y,,0.2825,2024-08-15,TRY,OIS,2D,1D,,
7Y,,0.2846,2024-08-14,TRY,OIS,2D,1D,,
7Y,,0.2846,2024-08-13,TRY,OIS,2D,1D,,
7Y,,0.2861,2024-08-12,TRY,OIS,2D,1D,,
7Y,,0.2876,2024-08-09,TRY,OIS,2D,1D,,
7Y,,0.2899,2024-08-08,TRY,OIS,2D,1D,,
7Y,,0.2905,2024-08-07,TRY,OIS,2D,1D,,
7Y,,0.2907,2024-08-06,TRY,OIS,2D,1D,,
7Y,,0.292,2024-08-05,TRY,OIS,2D,1D,,
7Y,,0.2916,2024-08-02,TRY,OIS,2D,1D,,
7Y,,0.294,2024-08-01,TRY,OIS,2D,1D,,
7Y,,0.295,2024-07-31,TRY,OIS,2D,1D,,
7Y,,0.2935999999999999,2024-07-30,TRY,OIS,2D,1D,,
7Y,,0.291,2024-07-29,TRY,OIS,2D,1D,,
7Y,,0.291,2024-07-26,TRY,OIS,2D,1D,,
7Y,,0.2891,2024-07-25,TRY,OIS,2D,1D,,
7Y,,0.288,2024-07-24,TRY,OIS,2D,1D,,
7Y,,0.2865,2024-07-23,TRY,OIS,2D,1D,,
7Y,,0.2855999999999999,2024-07-22,TRY,OIS,2D,1D,,
7Y,,0.284,2024-07-19,TRY,OIS,2D,1D,,
7Y,,0.2839,2024-07-18,TRY,OIS,2D,1D,,
7Y,,0.2846,2024-07-17,TRY,OIS,2D,1D,,
7Y,,0.2839,2024-07-16,TRY,OIS,2D,1D,,
7Y,,0.2839,2024-07-12,TRY,OIS,2D,1D,,
7Y,,0.2839,2024-07-11,TRY,OIS,2D,1D,,
7Y,,0.2836,2024-07-10,TRY,OIS,2D,1D,,
7Y,,0.278,2024-07-09,TRY,OIS,2D,1D,,
7Y,,0.2764,2024-07-08,TRY,OIS,2D,1D,,
7Y,,0.2764,2024-07-05,TRY,OIS,2D,1D,,
7Y,,0.2746,2024-07-04,TRY,OIS,2D,1D,,
7Y,,0.2792,2024-07-03,TRY,OIS,2D,1D,,
7Y,,0.2835,2024-07-02,TRY,OIS,2D,1D,,
7Y,,0.2842,2024-07-01,TRY,OIS,2D,1D,,
