valuationDate,isinCode,value,maturityDate,currency
2021-01-28,USD,7.3406,2021-01-28,TRY
2021-01-27,USD,7.3968,2021-01-27,TRY
2021-01-26,USD,7.3479,2021-01-26,TRY
2021-01-25,USD,7.409,2021-01-25,TRY
2021-01-22,USD,7.4146,2021-01-22,TRY
2021-01-21,USD,7.3685,2021-01-21,TRY
2021-01-20,USD,7.4219,2021-01-20,TRY
2021-01-19,USD,7.4741,2021-01-19,TRY
2021-01-18,USD,7.4818,2021-01-18,TRY
2021-01-15,USD,7.4753,2021-01-15,TRY
2021-01-14,USD,7.3719,2021-01-14,TRY
2021-01-13,USD,7.4064,2021-01-13,TRY
2021-01-12,USD,7.4532,2021-01-12,TRY
2021-01-11,USD,7.4781,2021-01-11,TRY
2021-01-08,USD,7.3762,2021-01-08,TRY
2021-01-07,USD,7.3198,2021-01-07,TRY
2021-01-06,USD,7.3067,2021-01-06,TRY
2021-01-05,USD,7.3906,2021-01-05,TRY
2021-01-04,USD,7.4248,2021-01-04,TRY
2021-01-01,USD,7.4392,2021-01-01,TRY
2020-12-31,USD,7.437,2020-12-31,TRY
2020-12-30,USD,7.3823,2020-12-30,TRY
2020-12-29,USD,7.3865,2020-12-29,TRY
2020-12-28,USD,7.4466,2020-12-28,TRY
2020-12-25,USD,7.5575,2020-12-25,TRY
2020-12-24,USD,7.5797,2020-12-24,TRY
2020-12-23,USD,7.6411,2020-12-23,TRY
2020-12-22,USD,7.662,2020-12-22,TRY
2020-12-21,USD,7.6541,2020-12-21,TRY
2020-12-18,USD,7.6289,2020-12-18,TRY
2020-12-17,USD,7.7009,2020-12-17,TRY
2020-12-16,USD,7.7991,2020-12-16,TRY
2020-12-15,USD,7.835,2020-12-15,TRY
2020-12-14,USD,7.8533,2020-12-14,TRY
2020-12-11,USD,7.8612,2020-12-11,TRY
2020-12-10,USD,7.8884,2020-12-10,TRY
2020-12-09,USD,7.8266,2020-12-09,TRY
2020-12-08,USD,7.8155,2020-12-08,TRY
2020-12-07,USD,7.8009,2020-12-07,TRY
2020-12-04,USD,7.8031,2020-12-04,TRY
2020-12-03,USD,7.7752,2020-12-03,TRY
2020-12-02,USD,7.8522,2020-12-02,TRY
2020-12-01,USD,7.8288,2020-12-01,TRY
2020-11-30,USD,7.8324,2020-11-30,TRY
2020-11-27,USD,7.8352,2020-11-27,TRY
2020-11-26,USD,7.8711,2020-11-26,TRY
2020-11-25,USD,7.9317,2020-11-25,TRY
2020-11-24,USD,8.0022,2020-11-24,TRY
2020-11-23,USD,7.885,2020-11-23,TRY
2020-11-20,USD,7.6359,2020-11-20,TRY
2020-11-19,USD,7.5527,2020-11-19,TRY
2020-11-18,USD,7.706,2020-11-18,TRY
2020-11-17,USD,7.7002,2020-11-17,TRY
2020-11-16,USD,7.6996,2020-11-16,TRY
2020-11-13,USD,7.6642,2020-11-13,TRY
2020-11-12,USD,7.6899,2020-11-12,TRY
2020-11-11,USD,7.7996,2020-11-11,TRY
2020-11-10,USD,8.1471,2020-11-10,TRY
2020-11-09,USD,8.0654,2020-11-09,TRY
2020-11-06,USD,8.525,2020-11-06,TRY
2020-11-05,USD,8.4222,2020-11-05,TRY
2020-11-04,USD,8.4271,2020-11-04,TRY
2020-11-03,USD,8.4036,2020-11-03,TRY
2020-11-02,USD,8.422,2020-11-02,TRY
2020-10-30,USD,8.3468,2020-10-30,TRY
2020-10-29,USD,8.2921,2020-10-29,TRY
2020-10-28,USD,8.2579,2020-10-28,TRY
2020-10-27,USD,8.1874,2020-10-27,TRY
2020-10-26,USD,8.0837,2020-10-26,TRY
2020-10-23,USD,7.9648,2020-10-23,TRY
2020-10-22,USD,7.9351,2020-10-22,TRY
2020-10-21,USD,7.8121,2020-10-21,TRY
2020-10-20,USD,7.8657,2020-10-20,TRY
2020-10-19,USD,7.8837,2020-10-19,TRY
2020-10-16,USD,7.9344,2020-10-16,TRY
2020-10-15,USD,7.935,2020-10-15,TRY
2020-10-14,USD,7.9119,2020-10-14,TRY
2020-10-13,USD,7.9187,2020-10-13,TRY
2020-10-12,USD,7.8911,2020-10-12,TRY
2020-10-09,USD,7.8593,2020-10-09,TRY
2020-10-08,USD,7.9446,2020-10-08,TRY
2020-10-07,USD,7.8848,2020-10-07,TRY
2020-10-06,USD,7.7969,2020-10-06,TRY
2020-10-05,USD,7.7639,2020-10-05,TRY
2020-10-02,USD,7.7748,2020-10-02,TRY
2020-10-01,USD,7.753,2020-10-01,TRY
2020-09-30,USD,7.7187,2020-09-30,TRY
2020-09-29,USD,7.8189,2020-09-29,TRY
2020-09-28,USD,7.8044,2020-09-28,TRY
2020-09-25,USD,7.6647,2020-09-25,TRY
2020-09-24,USD,7.6256,2020-09-24,TRY
2020-09-23,USD,7.7007,2020-09-23,TRY
2020-09-22,USD,7.6659,2020-09-22,TRY
2020-09-21,USD,7.6328,2020-09-21,TRY
2020-09-18,USD,7.5603,2020-09-18,TRY
2020-09-17,USD,7.5504,2020-09-17,TRY
2020-09-16,USD,7.5074,2020-09-16,TRY
2020-09-15,USD,7.494,2020-09-15,TRY
2020-09-14,USD,7.488,2020-09-14,TRY
2020-09-11,USD,7.4764,2020-09-11,TRY
2020-09-10,USD,7.4501,2020-09-10,TRY
2020-09-09,USD,7.4868,2020-09-09,TRY
2020-09-08,USD,7.4849,2020-09-08,TRY
2020-09-07,USD,7.4562,2020-09-07,TRY
2020-09-04,USD,7.4371,2020-09-04,TRY
2020-09-03,USD,7.4365,2020-09-03,TRY
2020-09-02,USD,7.3862,2020-09-02,TRY
2020-09-01,USD,7.3692,2020-09-01,TRY
2020-08-31,USD,7.3506,2020-08-31,TRY
2020-08-28,USD,7.3349,2020-08-28,TRY
2020-08-27,USD,7.3617,2020-08-27,TRY
2020-08-26,USD,7.3702,2020-08-26,TRY
2020-08-25,USD,7.3933,2020-08-25,TRY
2020-08-24,USD,7.3788,2020-08-24,TRY
2020-08-21,USD,7.3386,2020-08-21,TRY
2020-08-20,USD,7.2978,2020-08-20,TRY
2020-08-19,USD,7.2925,2020-08-19,TRY
2020-08-18,USD,7.3736,2020-08-18,TRY
2020-08-17,USD,7.3837,2020-08-17,TRY
2020-08-14,USD,7.3698,2020-08-14,TRY
2020-08-13,USD,7.3384,2020-08-13,TRY
2020-08-12,USD,7.3316,2020-08-12,TRY
2020-08-11,USD,7.2291,2020-08-11,TRY
2020-08-10,USD,7.3349,2020-08-10,TRY
2020-08-07,USD,7.2941,2020-08-07,TRY
2020-08-06,USD,7.2389,2020-08-06,TRY
2020-08-05,USD,7.0476,2020-08-05,TRY
2020-08-04,USD,6.9008,2020-08-04,TRY
2020-08-03,USD,6.9578,2020-08-03,TRY
2020-07-31,USD,6.9719,2020-07-31,TRY
2020-07-30,USD,6.9955,2020-07-30,TRY
2020-07-29,USD,6.9831,2020-07-29,TRY
2020-07-28,USD,6.9355,2020-07-28,TRY
2020-07-27,USD,6.8625,2020-07-27,TRY
2020-07-24,USD,6.8484,2020-07-24,TRY
2020-07-23,USD,6.8438,2020-07-23,TRY
2020-07-22,USD,6.8506,2020-07-22,TRY
2020-07-21,USD,6.8254,2020-07-21,TRY
2020-07-20,USD,6.8578,2020-07-20,TRY
2020-07-17,USD,6.8586,2020-07-17,TRY
2020-07-16,USD,6.8571,2020-07-16,TRY
2020-07-15,USD,6.8558,2020-07-15,TRY
2020-07-14,USD,6.8642,2020-07-14,TRY
2020-07-13,USD,6.8602,2020-07-13,TRY
2020-07-10,USD,6.8658,2020-07-10,TRY
2020-07-09,USD,6.862,2020-07-09,TRY
2020-07-08,USD,6.8605,2020-07-08,TRY
2020-07-07,USD,6.8595,2020-07-07,TRY
2020-07-06,USD,6.8609,2020-07-06,TRY
2020-07-03,USD,6.8624,2020-07-03,TRY
2020-07-02,USD,6.851,2020-07-02,TRY
2020-07-01,USD,6.8479,2020-07-01,TRY
2020-06-30,USD,6.8525,2020-06-30,TRY
2020-06-29,USD,6.8548,2020-06-29,TRY
2020-06-26,USD,6.8546,2020-06-26,TRY
2020-06-25,USD,6.8549,2020-06-25,TRY
2020-06-24,USD,6.8558,2020-06-24,TRY
2020-06-23,USD,6.8511,2020-06-23,TRY
2020-06-22,USD,6.8483,2020-06-22,TRY
2020-06-19,USD,6.853,2020-06-19,TRY
2020-06-18,USD,6.8562,2020-06-18,TRY
2020-06-17,USD,6.8448,2020-06-17,TRY
2020-06-16,USD,6.8439,2020-06-16,TRY
2020-06-15,USD,6.8363,2020-06-15,TRY
2020-06-12,USD,6.8126,2020-06-12,TRY
2020-06-11,USD,6.8414,2020-06-11,TRY
2020-06-10,USD,6.7768,2020-06-10,TRY
2020-06-09,USD,6.7973,2020-06-09,TRY
2020-06-08,USD,6.7876,2020-06-08,TRY
2020-06-05,USD,6.77,2020-06-05,TRY
2020-06-04,USD,6.7558,2020-06-04,TRY
2020-06-03,USD,6.744,2020-06-03,TRY
2020-06-02,USD,6.7145,2020-06-02,TRY
2020-06-01,USD,6.8142,2020-06-01,TRY
