valuationDate,index,currency,value
2007-06-20,UKRPI,GBP,206.1
2007-07-20,UKRPI,GBP,206.1
2007-08-20,UKRPI,GBP,206.1
2007-09-20,UKRPI,GBP,207.3
2007-10-20,UKRPI,GBP,208.0
2007-11-20,UKRPI,GBP,208.9
2007-12-20,UKRPI,GBP,209.7
2008-01-20,UKRPI,GBP,210.9
2008-02-20,UKRPI,GBP,209.8
2008-03-20,UKRPI,GBP,211.4
2008-04-20,UKRPI,GBP,212.1
2008-05-20,UKRPI,GBP,214.0
2008-06-20,UKRPI,GBP,215.1
2008-07-20,UKRPI,GBP,216.8
2008-08-20,UKRPI,GBP,216.5
2008-09-20,UKRPI,GBP,217.2
2008-10-20,UKRPI,GBP,218.4
2008-11-20,UKRPI,GBP,217.7
2008-12-20,UKRPI,GBP,216.0
2009-01-20,UKRPI,GBP,212.9
2009-02-20,UKRPI,GBP,210.1
2009-03-20,UKRPI,GBP,211.4
2009-04-20,UKRPI,GBP,211.3
2009-05-20,UKRPI,GBP,211.5
2009-06-20,UKRPI,GBP,212.8
2009-07-20,UKRPI,GBP,213.4
2009-08-20,UKRPI,GBP,213.4
2009-09-20,UKRPI,GBP,213.4
2009-10-20,UKRPI,GBP,214.4
2021-05-31,CPURNSA,USD,269.195
2021-04-30,CPURNSA,USD,267.054
2021-03-31,CPURNSA,USD,264.877
2021-02-28,CPURNSA,USD,263.014
2021-01-31,CPURNSA,USD,261.582
2020-12-31,CPURNSA,USD,260.474
2020-11-30,CPURNSA,USD,260.229
2020-10-31,CPURNSA,USD,260.388
2020-09-30,CPURNSA,USD,260.28
2020-08-31,CPURNSA,USD,259.918
2020-07-31,CPURNSA,USD,259.101
2020-06-30,CPURNSA,USD,257.797
2020-05-31,CPURNSA,USD,256.394
2020-04-30,CPURNSA,USD,256.389
2020-03-31,CPURNSA,USD,258.115
2020-02-29,CPURNSA,USD,258.678
2020-01-31,CPURNSA,USD,257.971
2019-12-31,CPURNSA,USD,256.974
2019-11-30,CPURNSA,USD,257.208
2019-10-31,CPURNSA,USD,257.346
2019-09-30,CPURNSA,USD,256.759
2019-08-31,CPURNSA,USD,256.558
2019-07-31,CPURNSA,USD,256.571
2019-06-30,CPURNSA,USD,256.143
2019-05-31,CPURNSA,USD,256.092
2019-04-30,CPURNSA,USD,255.548
2019-03-31,CPURNSA,USD,254.202
2019-02-28,CPURNSA,USD,252.776
2019-01-31,CPURNSA,USD,251.712
2018-12-31,CPURNSA,USD,251.233
2018-11-30,CPURNSA,USD,252.038
2018-10-31,CPURNSA,USD,252.885
2018-09-30,CPURNSA,USD,252.439
2018-08-31,CPURNSA,USD,252.146
2018-07-31,CPURNSA,USD,252.006
2018-06-30,CPURNSA,USD,251.989
2018-05-31,CPURNSA,USD,251.588
2018-04-30,CPURNSA,USD,250.546
2018-03-31,CPURNSA,USD,249.554
2018-02-28,CPURNSA,USD,248.991
2018-01-31,CPURNSA,USD,247.867
2017-12-31,CPURNSA,USD,246.524
2017-11-30,CPURNSA,USD,246.669
2017-10-31,CPURNSA,USD,246.663
2017-09-30,CPURNSA,USD,246.819
2017-08-31,CPURNSA,USD,245.519
2017-07-31,CPURNSA,USD,244.786
2017-06-30,CPURNSA,USD,244.955
2017-05-31,CPURNSA,USD,244.733
2017-04-30,CPURNSA,USD,244.524
2017-03-31,CPURNSA,USD,243.801
2017-02-28,CPURNSA,USD,243.603
2017-01-31,CPURNSA,USD,242.839
2016-12-31,CPURNSA,USD,241.432
2016-11-30,CPURNSA,USD,241.353
2016-10-31,CPURNSA,USD,241.729
2016-09-30,CPURNSA,USD,241.428
2016-08-31,CPURNSA,USD,240.849
2016-07-31,CPURNSA,USD,240.628
2016-06-30,CPURNSA,USD,241.018
2016-05-31,CPURNSA,USD,240.229
2016-04-30,CPURNSA,USD,239.261
2016-03-31,CPURNSA,USD,238.132
2016-02-29,CPURNSA,USD,237.111
2016-01-31,CPURNSA,USD,236.916
2015-12-31,CPURNSA,USD,236.525
2015-11-30,CPURNSA,USD,237.336
2015-10-31,CPURNSA,USD,237.838
2015-09-30,CPURNSA,USD,237.945
2015-08-31,CPURNSA,USD,238.316
2015-07-31,CPURNSA,USD,238.654
2015-06-30,CPURNSA,USD,238.638
2015-05-31,CPURNSA,USD,237.805
2015-04-30,CPURNSA,USD,236.599
2015-03-31,CPURNSA,USD,236.119
2015-02-28,CPURNSA,USD,234.722
2015-01-31,CPURNSA,USD,233.707
2014-12-31,CPURNSA,USD,234.812
2014-11-30,CPURNSA,USD,236.151
2014-10-31,CPURNSA,USD,237.433
2014-09-30,CPURNSA,USD,238.031
2014-08-31,CPURNSA,USD,237.852
2014-07-31,CPURNSA,USD,238.25
2014-06-30,CPURNSA,USD,238.343
2014-05-31,CPURNSA,USD,237.9
2014-04-30,CPURNSA,USD,237.072
2014-03-31,CPURNSA,USD,236.293
2014-02-28,CPURNSA,USD,234.781
2014-01-31,CPURNSA,USD,233.916
2013-12-31,CPURNSA,USD,233.049
2013-11-30,CPURNSA,USD,233.069
2013-10-31,CPURNSA,USD,233.546
2013-09-30,CPURNSA,USD,234.149
2013-08-31,CPURNSA,USD,233.877
2013-07-31,CPURNSA,USD,233.596
2013-06-30,CPURNSA,USD,233.504
2013-05-31,CPURNSA,USD,232.945
2013-04-30,CPURNSA,USD,232.531
2013-03-31,CPURNSA,USD,232.773
2013-02-28,CPURNSA,USD,232.166
2013-01-31,CPURNSA,USD,230.28
2012-12-31,CPURNSA,USD,229.601
2012-11-30,CPURNSA,USD,230.221
2012-10-31,CPURNSA,USD,231.317
2012-09-30,CPURNSA,USD,231.407
2012-08-31,CPURNSA,USD,230.379
2012-07-31,CPURNSA,USD,229.104
2012-06-30,CPURNSA,USD,229.478
2012-05-31,CPURNSA,USD,229.815
2012-04-30,CPURNSA,USD,230.085
2012-03-31,CPURNSA,USD,229.392
2012-02-29,CPURNSA,USD,227.663
2012-01-31,CPURNSA,USD,226.665
2011-12-31,CPURNSA,USD,225.672
2011-11-30,CPURNSA,USD,226.23
2011-10-31,CPURNSA,USD,226.421
2011-09-30,CPURNSA,USD,226.889
2011-08-31,CPURNSA,USD,226.545
2011-07-31,CPURNSA,USD,225.922
2011-06-30,CPURNSA,USD,225.722
2011-05-31,CPURNSA,USD,225.964
2011-04-30,CPURNSA,USD,224.906
