valuationDate;isincode;value;maturityDate;currency
2021-01-28;USD;7.34060;2021-01-28;TRY
2021-01-27;USD;7.39680;2021-01-27;TRY
2021-01-26;USD;7.34790;2021-01-26;TRY
2021-01-25;USD;7.40900;2021-01-25;TRY
2021-01-22;USD;7.41460;2021-01-22;TRY
2021-01-21;USD;7.36850;2021-01-21;TRY
2021-01-20;USD;7.42190;2021-01-20;TRY
2021-01-19;USD;7.47410;2021-01-19;TRY
2021-01-18;USD;7.48180;2021-01-18;TRY
2021-01-15;USD;7.47530;2021-01-15;TRY
2021-01-14;USD;7.37190;2021-01-14;TRY
2021-01-13;USD;7.40640;2021-01-13;TRY
2021-01-12;USD;7.45320;2021-01-12;TRY
2021-01-11;USD;7.47810;2021-01-11;TRY
2021-01-08;USD;7.37620;2021-01-08;TRY
2021-01-07;USD;7.31980;2021-01-07;TRY
2021-01-06;USD;7.30670;2021-01-06;TRY
2021-01-05;USD;7.39060;2021-01-05;TRY
2021-01-04;USD;7.42480;2021-01-04;TRY
2021-01-01;USD;7.43920;2021-01-01;TRY
2020-12-31;USD;7.43700;2020-12-31;TRY
2020-12-30;USD;7.38230;2020-12-30;TRY
2020-12-29;USD;7.38650;2020-12-29;TRY
2020-12-28;USD;7.44660;2020-12-28;TRY
2020-12-25;USD;7.55750;2020-12-25;TRY
2020-12-24;USD;7.57970;2020-12-24;TRY
2020-12-23;USD;7.64110;2020-12-23;TRY
2020-12-22;USD;7.66200;2020-12-22;TRY
2020-12-21;USD;7.65410;2020-12-21;TRY
2020-12-18;USD;7.62890;2020-12-18;TRY
2020-12-17;USD;7.70090;2020-12-17;TRY
2020-12-16;USD;7.79910;2020-12-16;TRY
2020-12-15;USD;7.83500;2020-12-15;TRY
2020-12-14;USD;7.85330;2020-12-14;TRY
2020-12-11;USD;7.86120;2020-12-11;TRY
2020-12-10;USD;7.88840;2020-12-10;TRY
2020-12-09;USD;7.82660;2020-12-09;TRY
2020-12-08;USD;7.81550;2020-12-08;TRY
2020-12-07;USD;7.80090;2020-12-07;TRY
2020-12-04;USD;7.80310;2020-12-04;TRY
2020-12-03;USD;7.77520;2020-12-03;TRY
2020-12-02;USD;7.85220;2020-12-02;TRY
2020-12-01;USD;7.82880;2020-12-01;TRY
2020-11-30;USD;7.83240;2020-11-30;TRY
2020-11-27;USD;7.83520;2020-11-27;TRY
2020-11-26;USD;7.87110;2020-11-26;TRY
2020-11-25;USD;7.93170;2020-11-25;TRY
2020-11-24;USD;8.00220;2020-11-24;TRY
2020-11-23;USD;7.88500;2020-11-23;TRY
2020-11-20;USD;7.63590;2020-11-20;TRY
2020-11-19;USD;7.55270;2020-11-19;TRY
2020-11-18;USD;7.70600;2020-11-18;TRY
2020-11-17;USD;7.70020;2020-11-17;TRY
2020-11-16;USD;7.69960;2020-11-16;TRY
2020-11-13;USD;7.66420;2020-11-13;TRY
2020-11-12;USD;7.68990;2020-11-12;TRY
2020-11-11;USD;7.79960;2020-11-11;TRY
2020-11-10;USD;8.14710;2020-11-10;TRY
2020-11-09;USD;8.06540;2020-11-09;TRY
2020-11-06;USD;8.52500;2020-11-06;TRY
2020-11-05;USD;8.42220;2020-11-05;TRY
2020-11-04;USD;8.42710;2020-11-04;TRY
2020-11-03;USD;8.40360;2020-11-03;TRY
2020-11-02;USD;8.42200;2020-11-02;TRY
2020-10-30;USD;8.34680;2020-10-30;TRY
2020-10-29;USD;8.29210;2020-10-29;TRY
2020-10-28;USD;8.25790;2020-10-28;TRY
2020-10-27;USD;8.18740;2020-10-27;TRY
2020-10-26;USD;8.08370;2020-10-26;TRY
2020-10-23;USD;7.96480;2020-10-23;TRY
2020-10-22;USD;7.93510;2020-10-22;TRY
2020-10-21;USD;7.81210;2020-10-21;TRY
2020-10-20;USD;7.86570;2020-10-20;TRY
2020-10-19;USD;7.88370;2020-10-19;TRY
2020-10-16;USD;7.93440;2020-10-16;TRY
2020-10-15;USD;7.93500;2020-10-15;TRY
2020-10-14;USD;7.91190;2020-10-14;TRY
2020-10-13;USD;7.91870;2020-10-13;TRY
2020-10-12;USD;7.89110;2020-10-12;TRY
2020-10-09;USD;7.85930;2020-10-09;TRY
2020-10-08;USD;7.94460;2020-10-08;TRY
2020-10-07;USD;7.88480;2020-10-07;TRY
2020-10-06;USD;7.79690;2020-10-06;TRY
2020-10-05;USD;7.76390;2020-10-05;TRY
2020-10-02;USD;7.77480;2020-10-02;TRY
2020-10-01;USD;7.75300;2020-10-01;TRY
2020-09-30;USD;7.71870;2020-09-30;TRY
2020-09-29;USD;7.81890;2020-09-29;TRY
2020-09-28;USD;7.80440;2020-09-28;TRY
2020-09-25;USD;7.66470;2020-09-25;TRY
2020-09-24;USD;7.62560;2020-09-24;TRY
2020-09-23;USD;7.70070;2020-09-23;TRY
2020-09-22;USD;7.66590;2020-09-22;TRY
2020-09-21;USD;7.63280;2020-09-21;TRY
2020-09-18;USD;7.56030;2020-09-18;TRY
2020-09-17;USD;7.55040;2020-09-17;TRY
2020-09-16;USD;7.50740;2020-09-16;TRY
2020-09-15;USD;7.49400;2020-09-15;TRY
2020-09-14;USD;7.48800;2020-09-14;TRY
2020-09-11;USD;7.47640;2020-09-11;TRY
2020-09-10;USD;7.45010;2020-09-10;TRY
2020-09-09;USD;7.48680;2020-09-09;TRY
2020-09-08;USD;7.48490;2020-09-08;TRY
2020-09-07;USD;7.45620;2020-09-07;TRY
2020-09-04;USD;7.43710;2020-09-04;TRY
2020-09-03;USD;7.43650;2020-09-03;TRY
2020-09-02;USD;7.38620;2020-09-02;TRY
2020-09-01;USD;7.36920;2020-09-01;TRY
2020-08-31;USD;7.35060;2020-08-31;TRY
2020-08-28;USD;7.33490;2020-08-28;TRY
2020-08-27;USD;7.36170;2020-08-27;TRY
2020-08-26;USD;7.37020;2020-08-26;TRY
2020-08-25;USD;7.39330;2020-08-25;TRY
2020-08-24;USD;7.37880;2020-08-24;TRY
2020-08-21;USD;7.33860;2020-08-21;TRY
2020-08-20;USD;7.29780;2020-08-20;TRY
2020-08-19;USD;7.29250;2020-08-19;TRY
2020-08-18;USD;7.37360;2020-08-18;TRY
2020-08-17;USD;7.38370;2020-08-17;TRY
2020-08-14;USD;7.36980;2020-08-14;TRY
