tenor,maturityDate,value,valuationDate,currency,instrument,settlementDate,period
3M,,0.001285,2021-06-02,USD,DEPO,2D,3M
6M,2021-06-16,99.87375,2021-06-02,USD,FUTURES,2D,3M
9M,2021-09-15,99.8775,2021-06-02,USD,FUTURES,2D,3M
12M,2021-12-15,99.8275,2021-06-02,USD,FUTURES,2D,3M
15M,2022-03-16,99.8425,2021-06-02,USD,FUTURES,2D,3M
18M,2022-06-15,99.8075,2021-06-02,USD,FUTURES,2D,3M
21M,2022-09-21,99.7375,2021-06-02,USD,FUTURES,2D,3M
2Y,,0.002277,2021-06-02,USD,IRS,2D,3M
3Y,,0.0042076,2021-06-02,USD,IRS,2D,3M
4Y,,0.006581,2021-06-02,USD,IRS,2D,3M
5Y,,0.008765,2021-06-02,USD,IRS,2D,3M
6Y,,0.010727,2021-06-02,USD,IRS,2D,3M
7Y,,0.0123845,2021-06-02,USD,IRS,2D,3M
8Y,,0.0136805,2021-06-02,USD,IRS,2D,3M
9Y,,0.014737,2021-06-02,USD,IRS,2D,3M
10Y,,0.0156275,2021-06-02,USD,IRS,2D,3M
11Y,,0.0163853,2021-06-02,USD,IRS,2D,3M
12Y,,0.0170415,2021-06-02,USD,IRS,2D,3M
15Y,,0.0183852,2021-06-02,USD,IRS,2D,3M
20Y,,0.0195015,2021-06-02,USD,IRS,2D,3M
25Y,,0.01989,2021-06-02,USD,IRS,2D,3M
30Y,,0.020005,2021-06-02,USD,IRS,2D,3M
40Y,,0.019378,2021-06-02,USD,IRS,2D,3M
50Y,,0.0185225,2021-06-02,USD,IRS,2D,3M
1W,2021-03-17,0.16739,2021-03-17,TRY,DEPO,2D,6M
2W,2021-03-17,0.16911,2021-03-17,TRY,DEPO,2D,6M
3W,2021-03-17,0.17037,2021-03-17,TRY,DEPO,2D,6M
1M,2021-03-17,0.17249,2021-03-17,TRY,DEPO,2D,6M
2M,2021-03-17,0.17452,2021-03-17,TRY,DEPO,2D,6M
3M,2021-03-17,0.17623,2021-03-17,TRY,DEPO,2D,6M
4M,2021-03-17,0.17827,2021-03-17,TRY,DEPO,2D,6M
